x,y
-0.017,8.117
0.017,12.987
0.035,22.727
0.052,27.598
0.086,37.338
0.121,47.078
0.156,56.818
0.173,60.065
0.190,64.936
0.225,74.676
0.259,82.793
0.277,86.040
0.294,90.911
0.328,99.027
0.363,107.144
0.398,115.261
0.415,120.131
0.449,128.249
0.467,131.496
0.467,136.365
0.501,146.106
0.536,154.222
0.570,163.962
0.605,173.703
0.622,176.949
0.640,181.820
0.674,191.560
0.709,199.677
0.743,209.417
0.761,214.287
0.795,222.404
0.812,227.275
0.847,235.391
0.882,245.131
0.899,248.378
0.933,256.495
0.951,264.612
0.985,274.352
1.020,284.093
1.054,293.833
1.089,303.573
1.124,314.937
1.158,326.300
1.175,331.171
1.193,337.664
1.227,349.028
1.262,360.392
1.296,373.379
1.314,378.249
1.348,391.236
1.383,404.223
1.417,417.210
1.452,435.067
1.469,441.561
1.504,456.171
1.521,462.665
1.538,469.158
1.573,482.145
1.608,495.132
1.625,501.626
1.642,509.743
1.677,522.730
1.711,537.341
1.729,543.834
1.746,551.952
1.798,571.432
1.832,586.042
1.867,600.653
1.884,615.263
1.919,631.497
1.953,646.107
1.971,654.224
1.988,660.717
2.022,676.951
2.057,693.185
2.074,699.679
2.092,707.796
2.109,715.912
2.161,738.640
2.178,745.133
2.195,753.251
2.213,761.367
2.247,775.977
2.282,792.211
2.299,800.328
2.316,808.445
2.334,824.679
2.368,842.536
2.385,850.653
2.403,860.393
2.437,878.251
2.489,902.601
2.506,910.719
2.541,926.952
2.558,935.069
2.593,952.926
2.627,972.407
2.662,991.887
2.697,1011.368
2.731,1030.848
2.748,1040.588
2.766,1050.329
2.800,1069.809
2.818,1089.290
2.852,1107.147
2.887,1126.627
2.921,1146.108
2.956,1167.212
2.973,1176.952
3.008,1196.433
3.042,1217.536
3.077,1237.017
3.111,1258.121
3.146,1279.225
3.163,1290.588
3.215,1318.186
3.250,1339.290
3.267,1358.770
3.302,1378.251
3.319,1387.991
3.336,1397.731
3.371,1415.588
3.388,1425.329
3.423,1443.186
3.440,1452.926
3.457,1461.043
3.492,1480.523
3.544,1504.874
3.561,1512.991
3.596,1530.848
3.630,1547.082
3.665,1564.939
3.699,1581.173
3.734,1597.407
3.751,1612.017
3.786,1628.251
3.820,1642.861
3.855,1657.472
3.872,1663.965
3.907,1678.575
3.941,1691.563
3.976,1704.550
4.010,1719.160
4.045,1732.147
4.080,1745.134
4.114,1758.121
4.131,1766.238
4.166,1777.601
4.183,1788.965
4.201,1795.459
4.218,1800.329
4.252,1811.692
4.287,1823.056
4.322,1834.420
4.356,1844.160
4.391,1853.900
4.408,1858.770
4.425,1863.641
4.460,1873.381
4.477,1879.874
4.529,1891.238
4.564,1900.978
4.598,1909.095
4.633,1917.212
4.650,1920.459
4.667,1928.576
4.702,1935.069
4.736,1943.186
4.771,1949.680
4.806,1956.173
4.857,1964.290
4.875,1967.537
4.909,1974.031
4.944,1978.901
4.961,1980.524
4.978,1983.771
5.013,1987.018
5.048,1991.888
5.065,1993.511
5.082,1996.758
5.099,1998.381
5.117,2001.628
5.169,2004.875
5.169,2006.498
5.203,2008.122
5.220,2009.745
5.255,2009.745
5.290,2008.122
5.324,2004.875
5.359,2000.005
5.393,1991.888
5.411,1980.524
5.428,1962.667
5.462,1842.537
5.480,1769.485
5.514,1665.589
5.549,1650.979
5.583,1650.979
5.601,1652.602
5.618,1654.226
5.635,1655.850
5.670,1662.344
5.704,1667.214
5.722,1668.838
5.739,1672.085
