x,y
0.000,3.247
-0.017,3.247
0.000,3.247
-0.017,3.247
0.000,3.247
-0.017,3.247
0.000,3.247
-0.017,3.247
0.000,3.247
0.017,6.494
0.052,9.740
0.086,11.364
0.121,14.611
0.138,16.235
0.156,16.235
0.190,17.859
0.207,19.482
0.242,21.106
0.277,24.353
0.311,29.223
0.346,35.717
0.380,43.834
0.415,51.951
0.449,61.691
0.467,73.055
0.519,84.418
0.536,94.159
0.553,100.652
0.570,107.146
0.605,118.509
0.622,123.380
0.657,136.367
0.674,142.860
0.691,149.354
0.726,162.341
0.761,173.705
0.795,186.692
0.830,199.679
0.864,212.666
0.899,224.029
0.933,235.393
0.951,248.380
0.985,259.744
1.003,264.614
1.020,271.108
1.037,275.977
1.072,288.964
1.106,300.328
1.124,306.822
1.141,313.315
1.175,326.302
1.210,339.289
1.262,360.393
1.279,366.887
1.314,381.497
1.348,396.107
1.383,410.718
1.400,426.952
1.435,441.562
1.452,449.679
1.469,457.796
1.487,464.289
1.521,480.523
1.538,488.640
1.573,503.251
1.608,519.484
1.625,527.602
1.659,543.836
1.694,560.069
1.729,576.303
1.763,592.537
1.798,608.771
1.832,625.004
1.867,641.238
1.884,649.356
1.901,663.966
1.936,680.200
1.971,694.810
2.005,711.044
2.040,725.654
2.057,733.771
2.074,740.264
2.109,756.498
2.143,771.108
2.161,777.602
2.178,785.719
2.213,801.953
2.264,823.057
2.282,831.174
2.299,837.668
2.334,853.902
2.351,868.512
2.368,875.006
2.385,883.123
2.420,896.110
2.455,910.720
2.472,917.214
2.489,923.707
2.524,938.318
2.541,946.435
2.576,959.422
2.610,975.656
2.627,983.773
2.662,1000.007
2.697,1014.617
2.714,1022.735
2.731,1030.852
2.748,1038.969
2.783,1053.579
2.800,1068.189
2.818,1074.683
2.835,1082.800
2.869,1097.411
2.904,1112.021
2.956,1133.125
2.973,1141.241
3.008,1155.852
3.042,1170.462
3.060,1178.579
3.077,1186.696
3.111,1201.306
3.129,1209.424
3.163,1224.034
3.181,1232.152
3.198,1238.645
3.232,1253.256
3.267,1269.489
3.302,1290.593
3.319,1297.087
3.354,1311.697
3.388,1326.308
3.405,1332.801
3.423,1340.918
3.457,1355.528
3.492,1368.515
3.509,1376.631
3.526,1383.125
3.544,1389.619
3.578,1404.229
3.596,1412.346
3.647,1431.827
3.682,1444.814
3.717,1457.801
3.734,1470.788
3.768,1483.775
3.803,1496.762
3.838,1509.749
3.855,1516.242
3.872,1521.113
3.907,1534.100
3.924,1540.594
3.976,1556.827
3.993,1563.321
4.028,1576.308
4.062,1587.671
4.080,1594.165
4.097,1600.659
4.131,1612.022
4.166,1625.009
4.201,1636.373
4.218,1649.360
4.252,1660.723
4.270,1667.217
4.304,1678.581
4.339,1689.944
4.356,1694.815
4.373,1699.685
4.408,1711.048
4.425,1715.919
4.443,1720.789
4.477,1732.152
4.512,1741.893
4.529,1746.763
4.546,1751.633
4.581,1759.750
4.615,1769.490
4.633,1774.360
4.667,1787.347
4.702,1795.464
4.736,1803.581
4.771,1810.075
4.788,1813.321
4.823,1818.191
4.840,1819.815
4.857,1819.815
4.892,1813.321
4.927,1803.581
4.944,1797.087
4.978,1795.464
5.013,1798.711
5.030,1800.334
5.065,1806.828
5.099,1811.698
5.117,1818.191
5.151,1821.438
5.169,1821.438
5.186,1813.321
5.203,1793.841
5.238,1566.568
5.255,1349.036
5.272,1186.698
5.290,1012.997
5.324,858.776
5.341,866.893
5.376,883.127
5.393,891.244
5.411,900.985
5.445,918.842
5.480,936.699
5.514,954.556
5.549,970.790
5.583,985.400
5.618,1000.011
5.635,1016.244
5.670,1032.478
5.687,1040.595
5.722,1058.452
5.756,1076.309
5.791,1092.543
5.825,1107.153
5.843,1115.270
5.860,1123.387
5.895,1139.621
5.929,1155.854
5.981,1176.958
5.998,1185.076
6.033,1199.686
6.050,1206.180
6.067,1220.790
6.102,1233.777
6.137,1246.764
6.171,1259.751
6.206,1274.361
6.240,1287.348
6.275,1298.712
6.309,1308.452
6.344,1319.816
6.379,1329.556
6.396,1336.050
6.413,1340.920
6.448,1349.038
6.465,1353.908
6.500,1362.025
6.517,1370.142
6.551,1378.259
6.586,1386.376
6.621,1394.493
6.672,1405.857
6.690,1410.727
6.707,1413.974
6.724,1417.221
6.759,1425.338
6.793,1431.832
6.811,1435.079
6.828,1438.325
6.863,1444.819
6.880,1448.066
6.914,1454.559
6.932,1457.806
6.949,1461.053
6.984,1465.923
7.001,1469.170
7.035,1475.664
7.070,1480.533
7.105,1485.404
7.139,1488.651
7.156,1491.897
7.174,1493.521
7.208,1496.768
7.243,1501.639
7.260,1503.262
