x,y
-0.017,6.494
0.000,4.870
-0.017,4.870
0.000,6.494
0.035,9.740
0.052,12.987
0.069,14.611
0.104,19.481
0.138,24.352
0.173,29.223
0.190,30.846
0.225,35.716
0.242,38.963
0.259,42.210
0.294,47.080
0.311,51.950
0.346,58.444
0.380,64.937
0.398,68.184
0.415,73.054
0.449,79.547
0.484,87.664
0.501,90.911
0.519,95.781
0.536,100.652
0.570,108.769
0.588,112.016
0.622,121.756
0.657,131.496
0.691,141.236
0.709,152.600
0.726,157.471
0.761,168.834
0.795,178.575
0.830,189.938
0.847,194.808
0.864,199.679
0.882,206.172
0.916,215.912
0.933,220.783
0.951,225.653
0.968,230.524
1.003,240.264
1.037,251.628
1.072,261.368
1.106,272.732
1.141,287.342
1.158,295.459
1.175,311.692
1.210,327.926
1.227,337.666
1.262,355.524
1.279,363.641
1.314,381.498
1.348,400.979
1.383,418.836
1.400,428.576
1.417,438.316
1.452,456.173
1.487,474.031
1.504,483.771
1.521,493.511
1.556,512.992
1.573,522.732
1.590,534.095
1.625,563.316
1.659,582.797
1.694,602.277
1.729,623.381
1.746,633.122
1.763,644.485
1.798,665.589
1.832,686.693
1.850,698.057
1.867,707.797
1.901,730.524
1.936,753.251
1.953,762.992
1.971,774.355
2.005,797.082
2.022,808.446
2.057,831.173
2.074,842.537
2.092,853.901
2.109,876.628
2.143,899.355
2.161,910.719
2.178,920.459
2.213,943.186
2.247,964.290
2.264,977.277
2.316,1008.121
2.351,1029.225
2.385,1050.329
2.403,1061.693
2.437,1082.797
2.472,1105.524
2.506,1126.628
2.541,1149.355
2.558,1170.459
2.593,1193.186
2.627,1204.550
2.662,1237.018
2.697,1258.121
2.714,1269.485
2.731,1279.225
2.766,1301.953
2.800,1323.057
2.818,1332.797
2.852,1353.901
2.887,1373.381
2.921,1394.485
2.939,1404.225
2.956,1413.966
2.973,1423.706
3.008,1443.186
3.025,1462.667
3.042,1472.407
3.077,1491.888
3.111,1511.368
3.146,1530.849
3.163,1540.589
3.181,1548.706
3.215,1568.187
3.232,1576.303
3.267,1595.784
3.302,1612.018
3.336,1629.875
3.371,1646.109
3.388,1655.849
3.405,1663.965
3.440,1680.199
3.475,1696.433
3.492,1711.043
3.526,1725.654
3.561,1740.264
3.596,1754.874
3.613,1762.991
3.630,1771.108
3.665,1784.095
3.699,1797.082
3.717,1805.199
3.751,1818.186
3.786,1831.173
3.820,1844.160
3.855,1857.147
3.889,1868.511
3.924,1879.875
3.941,1886.368
3.959,1892.862
3.976,1902.602
4.010,1913.966
4.028,1920.459
4.045,1925.329
4.062,1930.199
4.097,1941.563
4.131,1951.303
4.149,1956.173
4.166,1961.044
4.201,1970.784
4.235,1980.524
4.270,1990.264
4.304,2000.005
4.339,2009.745
4.373,2017.862
4.391,2022.732
4.408,2025.979
4.425,2034.096
4.460,2042.213
4.477,2045.459
4.512,2053.576
4.546,2061.693
4.581,2068.187
4.615,2074.680
4.650,2081.174
4.667,2084.420
4.719,2092.537
4.754,2097.408
4.788,2103.901
4.823,2108.771
4.840,2112.018
4.857,2113.641
4.892,2118.512
4.892,2121.758
4.927,2126.628
4.961,2131.499
4.996,2134.745
5.013,2137.992
5.048,2141.239
5.082,2144.486
5.099,2146.109
5.134,2149.356
5.169,2152.603
5.203,2155.849
5.238,2159.096
5.272,2160.720
5.307,2163.966
5.324,2163.966
5.359,2167.213
5.393,2168.836
5.411,2170.460
5.445,2172.083
