x,y
0.000,1.623
-0.017,1.623
0.000,1.623
-0.017,1.623
0.000,1.623
-0.017,1.623
0.000,1.623
-0.017,1.623
0.000,1.623
-0.017,1.623
0.000,1.623
0.017,1.623
0.052,3.247
0.086,3.247
0.121,3.247
0.156,3.247
0.173,3.247
0.190,3.247
0.225,1.623
0.242,1.623
0.277,1.623
0.311,1.623
0.346,1.623
0.380,1.623
0.415,1.623
0.449,1.623
0.467,1.623
0.501,1.623
0.536,1.623
0.570,1.623
0.605,1.623
0.640,1.623
0.674,1.623
0.709,1.623
0.726,1.623
0.761,1.623
0.778,3.247
0.795,3.247
0.812,3.247
0.830,3.247
0.864,3.247
0.882,3.247
0.916,3.247
0.933,3.247
0.951,4.871
0.985,4.871
1.020,4.871
1.037,4.871
1.054,4.871
1.089,6.495
1.124,6.495
1.141,6.495
1.158,8.119
1.175,8.119
1.210,8.119
1.227,9.742
1.245,9.742
1.279,9.742
1.296,9.742
1.331,11.366
1.348,11.366
1.366,12.989
1.400,12.989
1.435,14.613
1.452,14.613
1.469,14.613
1.504,16.237
1.521,16.237
1.573,17.861
1.608,19.484
1.642,21.108
1.659,21.108
1.694,22.732
1.711,22.732
1.746,24.356
1.780,25.980
1.815,27.604
1.850,29.227
1.901,30.851
1.919,30.851
1.953,34.098
1.988,35.722
2.022,37.346
2.057,38.969
2.092,40.593
2.109,42.217
2.126,43.841
2.161,45.465
2.195,48.711
2.247,51.958
2.264,53.582
2.299,55.206
2.334,58.453
2.368,60.076
2.403,63.323
2.437,66.570
2.472,69.817
2.489,71.441
2.506,73.063
2.541,76.310
2.558,77.934
2.593,82.805
2.610,84.428
2.645,89.299
2.679,92.546
2.697,94.170
2.714,97.416
2.748,100.663
2.783,105.534
2.800,108.781
2.818,110.404
2.852,115.274
2.887,121.768
2.904,125.014
2.939,129.885
2.973,134.755
3.008,141.248
3.025,142.872
3.025,146.119
3.060,152.612
3.094,159.106
3.129,165.599
3.163,172.093
3.198,178.586
3.232,185.080
3.267,193.196
3.319,202.937
3.336,206.184
3.371,212.677
3.388,215.924
3.423,222.417
3.440,225.664
3.457,230.535
3.492,238.651
3.509,246.769
3.544,254.885
3.578,264.625
3.613,274.366
3.665,287.353
3.682,292.223
3.717,301.963
3.751,311.704
3.786,321.444
3.803,326.315
3.838,336.055
3.872,344.172
3.907,353.912
3.941,363.653
3.976,375.016
4.010,391.250
4.028,397.744
4.062,407.484
4.097,418.847
4.114,425.341
4.131,431.835
4.166,443.198
4.201,456.185
4.218,462.679
4.235,469.172
4.252,475.666
4.287,488.653
4.304,496.769
4.339,508.133
4.373,522.743
4.391,529.237
4.425,543.847
4.425,550.341
4.443,556.834
4.477,571.445
4.512,586.055
4.546,599.042
4.581,613.652
4.615,626.640
4.633,633.133
4.650,641.250
4.685,654.237
4.719,667.224
4.736,673.717
4.771,685.081
4.806,698.068
4.840,709.431
4.875,722.418
4.892,727.289
4.892,733.783
4.927,746.770
4.961,759.757
4.978,764.627
4.996,772.745
5.048,788.978
5.082,801.965
5.099,808.459
5.117,814.952
5.151,827.939
5.186,840.926
5.203,847.420
5.220,853.913
5.255,866.900
5.290,879.887
5.324,892.875
5.359,904.238
5.376,915.602
5.411,928.589
5.428,935.082
5.445,939.953
5.462,946.446
5.497,957.810
5.532,969.174
5.566,982.161
5.601,993.524
5.635,1004.888
5.653,1009.759
5.670,1016.252
5.704,1025.992
5.739,1037.356
5.774,1048.720
5.808,1060.083
5.825,1071.447
5.860,1081.187
5.877,1087.681
5.912,1097.421
5.946,1108.785
5.981,1118.525
6.016,1129.889
6.067,1146.122
6.085,1150.992
6.102,1157.486
6.119,1162.356
6.154,1173.720
6.188,1185.083
6.223,1196.447
6.258,1206.187
6.292,1215.928
6.292,1222.421
6.327,1230.538
6.361,1237.032
6.396,1241.903
6.430,1245.149
6.465,1251.643
6.500,1259.759
6.534,1272.746
6.551,1279.240
6.569,1285.733
6.603,1298.720
6.638,1313.331
6.655,1319.824
6.672,1326.318
6.690,1332.811
6.742,1350.669
6.742,1355.538
6.759,1362.032
6.776,1368.525
6.811,1379.889
6.845,1391.253
6.863,1396.122
6.880,1402.616
6.914,1412.356
6.949,1423.720
6.966,1428.590
6.984,1433.461
7.018,1443.201
7.035,1449.695
7.087,1462.682
7.122,1472.422
7.139,1477.292
7.174,1485.409
7.191,1490.280
7.208,1495.150
7.226,1503.267
7.260,1511.384
7.277,1514.631
7.295,1517.878
7.329,1525.995
7.364,1530.866
7.398,1535.735
7.433,1542.229
7.468,1547.099
7.502,1553.593
7.537,1561.709
7.554,1564.956
7.589,1571.450
7.606,1574.697
7.623,1577.943
7.658,1584.437
7.692,1592.554
7.727,1600.671
7.744,1603.917
7.779,1608.788
7.813,1613.659
7.848,1620.152
7.882,1625.023
7.917,1629.893
7.952,1634.763
7.969,1636.386
8.003,1641.257
8.038,1646.127
8.090,1652.621
8.107,1655.867
8.142,1659.114
8.159,1663.985
8.176,1665.609
8.194,1668.855
8.228,1672.102
8.263,1676.972
8.297,1680.219
8.332,1685.089
8.366,1688.336
8.384,1689.960
8.401,1691.584
8.418,1694.830
8.453,1698.077
8.487,1702.948
8.522,1706.194
8.557,1709.441
8.591,1712.688
8.608,1714.312
8.626,1715.936
8.643,1717.559
8.678,1720.805
8.712,1724.052
8.729,1725.676
8.764,1728.923
8.781,1730.547
8.799,1730.547
8.833,1733.793
8.850,1735.417
8.868,1737.040
8.902,1738.664
8.937,1740.288
8.954,1741.911
8.971,1743.535
9.006,1745.159
9.041,1746.783
9.058,1748.406
9.075,1750.029
9.110,1751.653
9.127,1751.653
9.162,1753.276
9.196,1754.899
9.213,1754.899
9.248,1756.523
9.283,1758.146
9.317,1759.770
9.352,1759.770
9.386,1761.393
9.404,1763.016
9.438,1764.640
9.473,1764.640
9.490,1764.640
9.507,1766.263
9.525,1766.263
9.542,1766.263
9.576,1767.886
9.611,1767.886
9.628,1767.886
9.663,1769.510
9.697,1771.133
9.715,1771.133
9.732,1772.757
9.749,1772.757
9.801,1774.380
9.818,1774.380
9.836,1776.003
9.870,1776.003
9.905,1776.003
9.939,1776.003
9.974,1777.627
10.009,1777.627
10.026,1777.627
10.043,1777.627
10.078,1779.250
10.095,1779.250
10.147,1777.627
10.182,1777.627
10.216,1777.627
10.251,1777.627
10.268,1777.627
10.285,1777.627
10.320,1777.627
10.354,1777.627
10.372,1777.627
10.389,1777.627
10.424,1777.627
10.441,1776.003
10.475,1776.003
10.493,1774.380
10.527,1772.757
10.562,1771.133
10.596,1769.510
10.631,1767.886
10.666,1766.263
10.700,1764.640
10.735,1763.016
10.752,1763.016
10.804,1759.770
10.821,1758.146
10.838,1758.146
10.873,1754.899
10.890,1751.653
10.925,1746.783
10.942,1741.912
10.977,1737.042
11.011,1732.172
11.029,1730.549
11.046,1727.302
11.080,1724.056
11.115,1719.185
11.150,1714.315
11.184,1709.445
11.219,1706.198
11.253,1701.327
11.271,1699.704
11.288,1698.080
11.305,1696.456
11.340,1691.586
11.374,1688.339
11.409,1683.469
11.426,1678.598
11.461,1673.729
11.478,1670.482
11.495,1667.235
11.547,1654.248
11.564,1649.377
11.582,1642.884
11.599,1636.390
11.634,1613.663
11.668,1587.689
11.703,1564.962
11.720,1556.844
11.755,1538.987
11.789,1519.507
11.824,1500.026
11.858,1482.169
11.876,1465.935
11.910,1451.325
11.927,1444.832
11.945,1439.961
11.979,1433.467
12.014,1428.597
12.048,1423.726
12.083,1417.233
12.118,1409.116
12.135,1402.623
12.152,1397.752
12.187,1386.388
12.204,1381.518
12.239,1368.531
