x,y
-0.017,6.494
0.000,9.740
0.017,17.857
0.052,29.220
0.086,38.961
0.121,48.701
0.138,53.571
0.173,63.311
0.207,74.675
0.242,84.415
0.277,95.779
0.311,107.142
0.346,118.506
0.363,123.376
0.380,129.870
0.415,141.234
0.449,152.597
0.467,165.584
0.501,176.948
0.536,188.311
0.553,194.805
0.588,206.169
0.622,219.156
0.657,230.519
0.674,237.013
0.691,243.506
0.709,248.377
0.726,254.871
0.761,267.858
0.795,279.221
0.830,292.208
0.864,305.195
0.899,318.182
0.916,324.676
0.933,331.169
0.951,345.780
0.968,353.896
1.003,368.507
1.020,378.247
1.054,391.234
1.072,399.350
1.106,412.337
1.124,420.454
1.141,428.571
1.175,443.182
1.210,459.415
1.245,474.026
1.279,490.260
1.314,508.117
1.348,524.350
1.383,542.208
1.400,558.441
1.417,568.182
1.452,584.415
1.487,602.273
1.521,621.753
1.556,639.610
1.590,657.467
1.625,676.948
1.659,694.805
1.677,704.545
1.694,715.909
1.746,741.883
1.763,751.623
1.780,761.363
1.798,771.104
1.815,779.220
1.850,798.701
1.867,814.935
1.884,823.052
1.901,832.792
1.936,849.026
1.971,865.260
2.005,883.117
2.040,897.727
2.074,913.961
2.109,930.195
2.126,938.311
2.143,946.429
2.178,964.286
2.213,980.519
2.230,990.260
2.247,998.376
2.264,1006.494
2.299,1024.351
2.334,1040.584
2.334,1048.702
2.368,1058.442
2.385,1074.676
2.420,1090.910
2.437,1097.403
2.455,1105.521
2.489,1120.131
2.524,1134.741
2.558,1149.352
2.593,1163.962
2.627,1178.572
2.645,1186.690
2.662,1193.183
2.679,1201.300
2.714,1217.534
2.748,1230.521
2.783,1245.131
2.800,1259.741
2.835,1274.352
2.869,1288.962
2.887,1295.456
2.904,1301.949
2.939,1318.183
2.973,1332.793
3.008,1349.027
3.042,1363.638
3.060,1371.755
3.111,1396.105
3.129,1404.223
3.163,1420.457
3.198,1436.690
3.232,1451.301
3.267,1467.535
3.284,1483.768
3.319,1498.379
3.354,1512.989
3.388,1527.599
3.405,1535.716
3.440,1548.703
3.475,1563.313
3.509,1576.300
3.544,1589.287
3.578,1602.274
3.613,1613.638
3.647,1626.625
3.665,1631.496
3.682,1637.989
3.717,1649.353
3.751,1660.716
3.751,1663.963
3.768,1668.834
3.803,1678.574
3.838,1688.314
3.855,1691.561
3.872,1696.431
3.889,1699.678
3.924,1706.171
3.959,1712.665
3.976,1715.911
3.993,1719.158
4.028,1724.029
4.062,1728.899
4.097,1735.393
4.131,1741.886
4.166,1748.380
4.183,1756.497
4.201,1759.744
4.218,1762.990
4.252,1769.484
4.287,1775.977
4.304,1779.224
4.322,1782.471
4.339,1784.094
4.373,1788.965
4.408,1795.458
4.425,1797.081
4.443,1800.328
4.494,1808.445
4.512,1811.692
4.546,1818.185
4.581,1823.056
4.615,1829.549
4.650,1834.419
4.667,1839.289
4.702,1844.160
4.719,1845.783
4.754,1847.406
4.771,1849.030
4.823,1681.822
4.857,1176.952
4.875,923.705
4.892,672.082
4.927,592.536
4.961,599.030
4.996,607.147
5.030,613.641
5.065,620.134
5.099,625.005
5.117,629.875
5.151,634.745
5.169,637.992
5.203,642.862
5.238,646.109
5.272,649.356
5.307,650.980
5.341,647.733
5.376,646.109
5.411,644.485
5.428,644.485
5.462,644.485
5.497,644.485
5.514,644.485
5.549,642.862
5.566,642.862
5.583,641.238
5.618,641.238
5.653,641.238
5.687,639.614
5.722,636.367
5.756,631.497
5.774,628.251
5.808,621.757
5.843,608.770
5.860,602.277
5.877,594.159
5.895,586.043
5.929,568.186
5.964,550.329
5.981,538.965
5.998,529.225
6.016,517.861
6.050,496.757
6.067,477.277
6.102,464.290
6.119,456.172
6.171,443.185
6.206,433.445
6.223,428.575
6.240,423.705
6.275,413.964
6.309,407.471
6.344,402.600
6.379,396.107
6.396,394.483
6.430,391.236
6.448,389.612
6.500,384.742
6.517,383.118
6.551,381.494
6.586,379.870
6.621,376.623
6.655,375.000
6.690,371.753
6.724,368.506
6.759,365.259
6.776,362.013
6.811,357.142
6.845,352.272
6.880,347.402
6.897,345.778
6.914,344.154
6.949,340.907
6.984,339.283
6.984,337.660
7.001,336.036
7.035,332.789
7.070,327.919
7.105,321.426
7.139,316.555
7.191,311.686
7.208,310.062
7.226,308.438
7.260,305.191
7.295,301.944
7.329,300.321
7.347,298.697
7.364,298.697
7.398,297.073
7.433,293.826
7.450,290.579
7.502,287.333
7.519,285.709
7.554,282.462
7.589,279.215
7.623,275.968
7.640,274.345
7.675,271.098
7.710,267.851
7.744,264.604
7.779,259.734
7.796,256.487
7.813,253.240
7.848,246.747
7.882,240.253
7.917,233.760
7.934,228.890
7.969,225.643
8.003,224.019
8.038,222.396
8.055,220.772
8.090,219.148
8.124,217.524
8.159,215.900
8.211,212.654
8.228,212.654
8.263,211.031
8.297,209.407
8.332,209.407
8.349,207.783
8.366,206.159
8.384,204.535
8.418,202.911
8.436,201.288
8.453,199.664
