x,y
0.000,1.623
-0.017,1.623
0.000,1.623
-0.017,1.623
0.000,1.623
0.017,3.247
0.035,3.247
0.069,3.247
0.104,4.871
0.138,4.871
0.173,4.871
0.190,4.871
0.207,6.495
0.242,6.495
0.277,6.495
0.294,8.119
0.311,8.119
0.346,8.119
0.363,8.119
0.398,9.742
0.415,9.742
0.432,9.742
0.467,11.366
0.484,11.366
0.501,11.366
0.519,12.989
0.553,12.989
0.588,14.613
0.622,16.237
0.640,17.861
0.657,17.861
0.691,19.484
0.726,21.108
0.761,24.355
0.795,25.979
0.830,29.226
0.864,30.849
0.882,32.472
0.916,35.719
0.933,38.966
0.968,42.213
0.985,43.837
1.003,45.460
1.037,48.707
1.072,51.954
1.106,56.824
1.141,60.071
1.158,63.318
1.193,66.565
1.210,69.812
1.227,71.435
1.245,74.682
1.262,76.306
1.296,81.177
1.331,87.670
1.366,92.540
1.400,97.410
1.417,103.904
1.435,107.151
1.452,110.397
1.487,115.267
1.504,118.514
1.538,125.007
1.556,128.254
1.590,134.748
1.625,141.241
1.659,147.735
1.677,150.982
1.711,157.475
1.746,165.592
1.763,168.839
1.780,172.086
1.815,180.202
1.850,186.696
1.867,191.567
1.901,201.307
1.936,207.800
1.971,215.917
2.005,224.034
2.040,230.528
2.074,238.644
2.092,243.515
2.126,251.632
2.161,261.372
2.195,271.113
2.213,277.606
2.247,287.346
2.282,298.710
2.299,305.204
2.334,318.191
2.351,331.178
2.385,344.165
2.420,357.152
2.455,370.139
2.489,384.749
2.506,392.866
2.524,399.359
2.541,407.476
2.576,423.710
2.627,449.684
2.645,457.801
2.679,477.281
2.714,496.762
2.748,517.866
2.766,529.229
2.783,538.970
2.800,560.073
2.835,581.177
2.869,603.905
2.904,625.009
2.921,637.996
2.973,668.840
2.990,680.203
3.025,702.931
3.060,724.035
3.094,746.762
3.129,769.489
3.163,792.216
3.198,813.320
3.215,824.684
3.232,836.047
3.250,849.035
3.284,881.502
3.302,892.866
3.319,904.229
3.336,915.593
3.371,936.697
3.405,959.424
3.423,970.788
3.440,983.775
3.475,1006.502
3.509,1029.229
3.526,1042.216
3.578,1076.307
3.613,1100.658
3.647,1126.632
3.682,1152.606
3.717,1176.957
3.734,1202.931
3.751,1215.918
3.786,1241.892
3.820,1267.866
3.855,1295.463
3.889,1319.814
3.924,1345.788
3.959,1371.762
3.976,1384.749
3.993,1397.736
4.028,1423.710
4.062,1449.684
4.080,1462.671
4.097,1474.035
4.131,1498.385
4.166,1522.736
4.183,1534.099
4.183,1547.086
4.218,1560.073
4.235,1582.801
4.270,1607.151
4.304,1631.502
4.339,1654.229
4.373,1676.957
4.408,1698.060
4.425,1709.424
4.443,1719.164
4.477,1740.268
4.512,1759.749
4.529,1769.489
4.546,1779.229
4.564,1790.593
4.615,1816.567
4.633,1824.684
4.650,1842.541
4.685,1857.151
4.719,1871.762
4.754,1884.749
4.788,1899.359
4.823,1913.970
4.840,1922.087
4.857,1928.580
4.892,1941.567
4.944,1957.801
4.961,1961.048
4.996,1969.165
5.013,1974.035
5.048,1983.775
5.065,1990.268
5.082,1996.762
5.117,2009.749
5.134,2022.736
5.151,2029.230
5.169,2035.723
5.203,2047.087
5.220,2053.580
5.255,2061.697
5.290,2071.437
5.307,2076.308
5.341,2086.048
5.376,2094.165
5.411,2103.905
5.428,2107.152
5.462,2116.892
5.497,2125.009
5.532,2133.126
5.566,2141.243
5.583,2146.113
5.618,2157.477
5.653,2163.970
5.687,2170.464
5.722,2178.581
5.739,2181.827
5.756,2185.074
5.791,2191.568
5.825,2198.061
5.843,2201.308
5.877,2207.801
5.912,2212.672
5.946,2219.165
5.998,2227.282
6.016,2230.529
6.050,2235.399
6.050,2238.646
6.067,2240.269
6.102,2245.139
6.137,2250.009
6.171,2253.256
6.206,2258.126
6.240,2261.373
6.258,2262.997
6.275,2264.620
6.292,2266.243
6.327,2267.867
6.361,2266.243
6.396,2262.997
6.430,2258.126
6.465,2258.126
6.500,2258.126
6.517,2258.126
6.551,2258.126
6.586,2258.126
6.621,2256.503
6.655,2254.880
6.690,2251.633
6.707,2250.009
6.742,2243.516
6.776,1501.633
6.811,748.386
6.845,363.646
6.880,363.646
6.897,365.270
6.932,366.893
6.966,368.517
6.984,370.141
7.001,371.765
7.035,373.388
7.053,371.765
7.070,371.765
7.087,370.141
7.122,368.517
7.156,370.141
7.191,371.765
7.226,373.388
7.243,373.388
7.295,373.388
7.329,371.765
7.364,370.141
7.398,368.517
7.433,370.141
7.450,370.141
7.485,371.765
7.502,371.765
7.537,370.141
7.589,365.270
7.606,363.647
7.640,360.400
7.675,358.776
7.710,358.776
7.727,357.152
7.744,357.152
7.779,355.528
7.813,353.905
7.831,352.282
7.848,350.658
7.882,345.787
7.900,344.163
7.934,340.917
7.952,340.917
7.986,339.293
8.021,336.046
8.055,334.422
8.090,331.176
8.124,326.305
8.159,319.811
8.194,314.941
8.228,311.694
8.245,310.070
8.297,306.823
8.332,303.577
8.349,303.577
8.366,300.330
8.401,298.706
8.436,297.082
8.470,297.082
8.505,295.458
8.539,295.458
8.574,293.835
8.608,292.212
8.643,290.588
8.678,288.964
8.712,287.340
8.729,287.340
8.747,285.716
8.764,284.093
8.799,282.469
8.833,280.845
8.850,277.598
8.885,272.728
8.920,269.481
8.937,267.857
8.954,267.857
8.989,264.610
9.023,262.987
9.041,262.987
9.058,261.363
9.092,259.739
9.127,258.115
9.144,256.491
9.162,256.491
9.179,256.491
9.213,256.491
9.248,254.867
9.265,254.867
9.283,254.867
9.317,254.867
9.334,254.867
9.369,253.244
9.404,253.244
9.438,251.621
9.473,251.621
9.490,249.997
9.507,249.997
9.542,248.373
9.576,248.373
9.594,248.373
9.628,246.749
9.663,246.749
9.715,246.749
9.732,246.749
9.767,246.749
9.784,246.749
9.801,246.749
9.818,246.749
9.853,246.749
9.888,245.125
9.905,245.125
9.922,245.125
9.957,245.125
9.991,245.125
10.026,245.125
10.043,243.502
10.078,243.502
10.112,243.502
10.147,241.878
10.182,241.878
10.216,241.878
10.233,241.878
10.268,241.878
10.303,240.254
10.320,240.254
10.372,240.254
10.406,240.254
10.424,240.254
10.458,240.254
10.493,240.254
10.527,240.254
10.562,240.254
10.596,238.630
10.614,238.630
10.631,238.630
10.666,238.630
10.683,238.630
10.717,237.006
10.752,235.383
10.787,232.136
10.821,230.512
10.838,230.512
10.873,228.888
10.908,228.888
10.942,227.264
10.959,227.264
10.977,227.264
11.011,225.640
11.063,224.017
11.080,224.017
11.115,222.393
11.150,220.769
11.167,219.145
11.201,217.521
11.236,215.898
11.253,215.898
11.271,215.898
11.288,215.898
11.322,214.274
11.340,214.274
11.392,214.274
11.426,212.650
11.461,212.650
11.495,211.027
11.530,211.027
11.564,209.403
11.599,209.403
11.616,209.403
11.634,209.403
11.651,207.779
11.668,207.779
11.703,207.779
11.755,206.156
11.772,206.156
11.806,206.156
11.824,206.156
11.841,204.532
11.876,204.532
11.910,202.908
11.927,202.908
11.945,201.284
11.979,201.284
12.014,199.660
12.031,199.660
12.048,198.036
12.066,198.036
12.100,196.413
12.118,196.413
12.135,196.413
12.152,194.789
12.187,194.789
12.221,193.165
12.239,193.165
12.256,193.165
12.290,191.542
12.325,191.542
12.360,189.918
12.394,188.294
12.411,188.294
12.446,186.671
12.481,185.047
12.498,185.047
12.515,183.423
12.550,183.423
12.567,181.799
12.602,181.799
12.636,180.175
12.671,178.552
12.705,178.552
12.740,176.928
12.774,175.304
12.826,173.680
12.844,172.057
12.878,170.433
12.895,170.433
12.913,170.433
12.930,170.433
