x,y
0.000,4.870
0.000,3.246
-0.017,3.246
0.000,3.246
-0.017,3.246
0.000,4.870
0.000,6.494
0.035,9.741
0.052,12.988
0.086,17.858
0.121,22.729
0.156,27.599
0.173,30.846
0.190,34.093
0.207,37.340
0.242,43.833
0.259,51.950
0.294,60.067
0.328,68.184
0.363,76.301
0.398,86.041
0.432,95.781
0.467,103.899
0.484,108.769
0.501,113.639
0.536,125.003
0.570,134.743
0.588,139.613
0.605,144.484
0.622,149.355
0.657,157.471
0.691,167.211
0.709,175.328
0.743,185.068
0.778,193.185
0.812,199.678
0.847,207.796
0.882,212.665
0.899,215.912
0.916,217.536
0.951,220.783
0.985,224.029
1.020,227.276
1.037,227.276
1.072,228.900
1.106,232.147
1.124,235.393
1.158,245.134
1.175,256.497
1.193,261.368
1.227,272.732
1.262,284.095
1.296,298.706
1.331,313.316
1.366,327.926
1.400,344.160
1.435,358.771
1.452,366.888
1.487,383.122
1.538,405.849
1.556,413.965
1.573,420.459
1.590,428.576
1.625,441.563
1.642,456.174
1.677,470.784
1.711,487.018
1.746,504.875
1.780,522.732
1.798,532.472
1.832,550.330
1.867,569.810
1.901,589.291
1.919,599.031
1.936,608.771
1.971,629.875
2.005,650.979
2.040,672.083
2.074,693.187
2.109,715.914
2.126,737.018
2.161,750.005
2.195,779.226
2.230,800.329
2.247,810.070
2.264,819.810
2.282,831.174
2.316,853.901
2.351,878.252
2.368,889.615
2.385,900.979
2.420,925.330
2.455,948.057
2.472,961.044
2.506,982.148
2.541,1004.875
2.558,1016.239
2.576,1037.342
2.610,1060.070
2.645,1081.174
2.679,1102.278
2.697,1112.018
2.731,1133.122
2.766,1154.226
2.800,1175.329
2.835,1198.057
2.869,1217.537
2.904,1238.641
2.921,1248.381
2.939,1259.745
2.973,1280.849
3.008,1301.953
3.025,1321.433
3.060,1342.537
3.094,1362.018
3.111,1371.758
3.129,1383.122
3.146,1392.862
3.181,1412.343
3.232,1439.940
3.250,1449.680
3.284,1469.161
3.319,1488.641
3.354,1506.498
3.388,1524.355
3.423,1542.213
3.457,1560.070
3.475,1568.187
3.492,1577.927
3.526,1595.785
3.561,1620.135
3.578,1628.252
3.596,1636.369
3.630,1652.603
3.665,1668.837
3.699,1683.447
3.734,1698.057
3.768,1712.668
3.803,1724.031
3.820,1730.525
3.838,1737.018
3.872,1751.629
3.907,1762.992
3.941,1775.979
3.959,1780.850
3.976,1793.837
4.010,1803.577
4.045,1814.941
4.080,1824.681
4.114,1836.044
4.149,1847.408
4.183,1858.772
4.218,1868.512
4.252,1878.252
4.287,1887.992
4.322,1896.109
4.356,1904.226
4.373,1907.473
4.408,1915.590
4.425,1922.084
4.460,1930.200
4.494,1936.694
4.529,1943.188
4.564,1951.304
4.615,1961.045
4.633,1964.291
4.667,1969.162
4.702,1975.655
4.719,1978.902
4.736,1982.149
4.771,1988.642
4.788,1990.266
4.823,1996.759
4.840,2000.006
4.857,2001.629
4.892,2008.123
4.927,2012.993
4.961,2021.110
4.978,2022.733
5.013,2027.603
5.048,2032.474
5.065,2035.720
5.082,2037.344
5.117,2040.590
5.151,2045.461
5.186,2048.707
5.203,2050.331
5.238,2055.201
5.290,2061.694
5.307,2063.318
5.341,2066.565
5.359,2069.811
5.393,2073.058
5.428,2076.305
5.462,2079.552
5.497,2082.798
5.514,2084.422
5.532,2086.045
5.566,2089.292
5.583,2090.915
5.635,2094.162
5.653,2095.786
5.687,2099.032
5.722,2100.656
5.739,2102.279
5.756,2103.902
5.791,2105.526
5.825,2107.149
5.825,2108.773
5.843,2108.773
5.877,2110.396
5.912,2110.396
5.929,2110.396
5.981,2110.396
6.016,2009.747
6.033,1652.604
6.050,1295.461
6.067,938.318
6.102,323.058
6.137,319.812
6.154,316.565
6.171,314.941
6.206,314.941
6.240,314.941
6.275,314.941
6.292,316.565
6.309,316.565
6.344,316.565
6.361,316.565
6.396,316.565
6.430,316.565
6.448,316.565
6.465,318.189
6.482,318.189
6.517,318.189
6.551,319.812
6.569,319.812
6.586,319.812
6.638,321.436
6.655,321.436
6.690,323.060
6.724,323.060
6.742,321.436
6.776,321.436
6.793,321.436
6.811,321.436
6.845,321.436
6.863,323.060
6.897,323.060
6.914,323.060
6.932,321.436
6.966,321.436
7.001,319.812
7.035,319.812
7.070,318.189
7.105,318.189
7.139,318.189
7.156,318.189
7.174,318.189
7.208,318.189
7.226,318.189
7.260,318.189
7.277,318.189
7.295,319.812
7.312,319.812
7.364,318.189
7.381,318.189
7.416,311.695
7.450,301.955
7.485,292.215
7.519,285.721
7.554,282.474
7.589,280.850
7.623,279.227
7.658,279.227
7.675,279.227
7.710,277.603
