x,y
0.000,1.623
0.017,1.623
0.052,3.247
0.069,3.247
0.086,3.247
0.121,3.247
0.156,3.247
0.173,3.247
0.190,3.247
0.207,3.247
0.242,3.247
0.277,3.247
0.311,3.247
0.346,3.247
0.363,3.247
0.398,3.247
0.415,3.247
0.449,3.247
0.484,3.247
0.501,3.247
0.519,3.247
0.536,4.871
0.570,4.871
0.588,4.871
0.622,4.871
0.640,4.871
0.657,4.871
0.691,4.871
0.726,4.871
0.743,4.871
0.761,4.871
0.795,4.871
0.830,4.871
0.847,4.871
0.864,4.871
0.899,4.871
0.933,4.871
0.951,4.871
0.985,4.871
1.003,4.871
1.037,4.871
1.054,4.871
1.072,4.871
1.106,4.871
1.141,4.871
1.175,4.871
1.210,4.871
1.245,6.495
1.279,6.495
1.296,6.495
1.314,6.495
1.348,6.495
1.383,6.495
1.400,6.495
1.417,6.495
1.452,6.495
1.487,6.495
1.504,6.495
1.521,6.495
1.556,6.495
1.590,6.495
1.608,6.495
1.625,6.495
1.659,6.495
1.694,6.495
1.729,6.495
1.763,6.495
1.798,6.495
1.832,4.871
1.850,4.871
1.867,4.871
1.919,4.871
1.936,4.871
1.971,4.871
2.005,4.871
2.040,6.495
2.074,4.871
2.109,4.871
2.143,4.871
2.161,4.871
2.178,4.871
2.213,4.871
2.247,4.871
2.264,4.871
2.299,4.871
2.316,4.871
2.334,4.871
2.368,4.871
2.385,4.871
2.420,4.871
2.455,4.871
2.489,4.871
2.524,6.495
2.558,6.495
2.593,6.495
2.627,6.495
2.662,8.119
2.679,8.119
2.731,9.742
2.748,9.742
2.783,11.366
2.800,12.989
2.818,14.613
2.835,14.613
2.869,16.237
2.904,17.861
2.921,19.484
2.939,21.108
2.973,22.732
3.008,27.603
3.025,29.227
3.077,35.720
3.094,37.344
3.129,42.214
3.146,43.838
3.163,47.085
3.198,51.955
3.232,58.448
3.250,60.072
3.267,63.319
3.284,68.189
3.319,74.683
3.336,77.930
3.388,87.670
3.423,94.164
3.457,100.657
3.492,108.774
3.509,112.021
3.544,120.139
3.578,128.256
3.613,136.372
3.647,142.866
3.682,150.983
3.717,159.100
3.734,165.593
3.768,172.087
3.786,176.957
3.803,180.203
3.838,186.697
3.872,194.813
3.907,202.931
3.924,207.801
3.959,215.918
3.993,224.035
4.028,232.152
4.062,238.646
4.080,243.517
4.131,254.880
4.149,258.127
4.166,262.998
4.183,271.115
4.218,279.231
4.235,282.478
4.252,287.349
4.287,295.465
4.322,305.206
4.339,310.076
4.356,314.946
4.373,319.816
4.408,329.557
4.425,334.426
4.477,349.037
4.512,357.153
4.546,366.894
4.581,376.634
4.615,384.751
4.650,394.491
4.667,404.232
4.685,409.102
4.702,413.972
4.736,423.712
4.788,438.323
4.806,443.193
4.823,448.064
4.857,457.804
4.892,469.168
4.927,478.908
4.961,488.648
4.996,498.389
5.030,506.506
5.048,511.376
5.065,516.246
5.099,525.986
5.117,534.103
5.151,543.843
5.169,548.714
5.203,556.830
5.238,566.571
5.272,574.687
5.307,581.181
5.341,587.674
5.376,592.545
5.411,597.414
5.445,603.908
5.462,607.155
5.497,613.648
5.532,621.766
5.549,625.012
5.583,631.506
5.583,634.753
5.601,638.000
5.618,641.246
5.653,646.117
5.687,652.610
5.704,654.233
5.722,655.857
5.756,652.610
5.791,647.740
5.825,642.869
5.860,639.622
5.895,633.129
5.929,620.142
5.946,612.025
5.964,603.908
5.998,587.674
6.016,581.181
6.050,569.817
6.067,566.570
6.102,569.817
6.137,579.557
6.154,586.051
6.206,600.661
6.240,612.025
6.275,625.012
6.309,639.622
6.344,657.479
6.379,676.960
6.396,686.700
6.413,694.817
6.430,704.557
6.465,722.414
6.500,738.648
6.517,746.765
6.551,769.493
6.586,784.103
6.621,798.713
6.655,813.324
6.690,829.557
6.724,844.168
6.742,852.285
6.759,860.402
6.793,876.635
6.828,891.246
6.845,899.362
6.897,920.466
6.914,928.584
6.949,943.194
6.966,951.310
6.984,957.804
7.001,972.414
7.035,987.025
7.070,1001.635
7.105,1017.869
7.139,1034.103
7.174,1050.337
7.191,1058.453
7.226,1073.063
7.243,1079.557
7.277,1095.791
7.295,1102.284
7.312,1110.402
7.329,1118.518
7.364,1133.129
7.398,1149.362
7.416,1157.479
7.433,1165.596
7.450,1181.830
7.485,1198.064
7.519,1215.921
7.554,1232.155
7.589,1248.388
7.623,1264.622
7.640,1272.739
7.658,1280.856
7.675,1287.349
7.710,1303.583
7.744,1319.817
7.761,1327.934
7.779,1334.428
7.813,1350.662
7.831,1358.778
7.882,1381.505
7.917,1397.739
7.934,1412.350
7.969,1428.583
8.003,1443.194
8.038,1457.804
8.073,1472.415
8.090,1480.531
8.124,1493.518
8.159,1506.505
8.194,1517.869
8.228,1527.609
8.263,1540.596
8.297,1553.583
8.315,1560.077
8.332,1568.194
8.366,1581.181
8.384,1595.791
8.418,1608.778
8.453,1620.142
8.487,1631.506
8.505,1637.999
8.557,1652.610
8.574,1659.103
8.608,1670.467
8.643,1683.454
8.660,1689.947
8.678,1696.441
8.712,1709.428
8.747,1720.792
8.781,1733.779
8.816,1745.142
8.850,1756.506
8.885,1769.493
8.902,1780.856
8.937,1792.220
8.954,1797.090
8.989,1808.454
9.023,1819.818
9.058,1831.181
9.092,1840.921
9.127,1850.662
9.162,1860.402
9.196,1870.142
9.213,1875.012
9.231,1881.506
9.265,1889.623
9.300,1899.363
9.317,1902.610
9.317,1907.480
9.334,1912.350
9.369,1920.467
9.404,1928.584
9.421,1933.454
9.438,1936.701
9.473,1944.818
9.507,1952.935
9.542,1959.428
9.576,1967.545
9.594,1970.792
9.628,1978.909
9.663,1985.402
9.680,1988.649
9.715,1993.519
9.749,2000.013
9.767,2003.260
9.767,2004.883
9.784,2008.130
9.818,2013.000
9.853,2017.870
9.870,2019.493
9.888,2022.740
9.922,2025.987
9.939,2027.610
9.974,2030.857
10.009,2035.727
10.026,2037.351
10.061,2040.597
10.095,2045.468
10.130,2048.714
10.164,2053.585
10.182,2055.208
10.199,2056.831
10.216,2058.455
10.251,2063.325
10.268,2064.948
10.303,2068.195
10.320,2069.818
10.354,2071.442
10.372,2073.065
10.406,2074.689
10.441,2076.312
10.475,2077.935
10.510,2079.559
10.527,2079.559
10.545,2081.182
10.579,2081.182
10.596,2082.805
10.631,2082.805
10.648,2082.805
10.666,2084.429
10.700,2086.052
10.717,2086.052
10.752,2087.676
10.787,2086.052
10.821,2084.429
10.856,2081.182
10.873,2081.182
10.890,2079.559
10.925,2077.935
10.959,2074.689
10.977,2073.065
10.994,2071.442
11.029,2069.818
11.046,2068.195
11.080,2063.325
11.115,2051.961
11.150,1957.805
11.184,1840.922
11.201,1761.377
11.236,1758.130
11.271,1756.507
11.288,1756.507
11.305,1753.260
11.322,1751.636
11.374,1743.520
11.409,1733.779
11.426,1727.286
11.461,1691.572
11.495,1548.714
11.513,1477.286
11.530,1409.104
11.564,1358.779
11.599,1358.779
11.634,1362.026
11.651,1365.273
11.685,1366.897
11.720,1371.767
11.737,1371.767
11.755,1373.391
11.789,1373.391
11.824,1290.599
11.841,1126.638
11.858,954.560
11.876,782.482
11.910,519.495
11.945,504.885
11.962,504.885
11.979,504.885
12.014,508.131
12.066,513.002
12.083,514.625
12.100,517.872
12.135,517.872
12.169,513.002
12.187,509.755
12.204,504.885
12.239,493.521
12.256,490.274
12.290,483.781
12.325,480.534
12.360,478.910
12.411,475.663
12.429,474.039
12.463,470.793
12.498,469.169
12.515,467.545
12.532,465.921
12.567,462.674
12.584,459.428
12.602,457.804
12.619,454.557
12.653,451.310
