x,y
-0.017,1.623
0.000,3.247
0.017,3.247
0.052,3.247
0.086,4.871
0.104,4.871
0.138,6.495
0.173,6.495
0.207,6.495
0.242,8.119
0.277,8.119
0.311,9.742
0.346,9.742
0.363,11.366
0.380,11.366
0.415,11.366
0.449,12.989
0.484,14.613
0.501,14.613
0.519,16.237
0.553,16.237
0.588,17.861
0.622,19.484
0.657,21.108
0.691,21.108
0.726,22.732
0.761,24.356
0.795,25.980
0.812,27.604
0.847,27.604
0.864,29.227
0.899,30.851
0.916,30.851
0.933,32.474
0.968,34.098
1.003,35.722
1.020,35.722
1.037,37.346
1.072,38.969
1.089,40.593
1.141,42.217
1.175,43.841
1.210,47.088
1.245,48.711
1.279,50.335
1.314,51.958
1.348,53.582
1.366,55.206
1.400,56.830
1.417,58.453
1.452,60.077
1.487,63.324
1.521,64.948
1.556,66.572
1.590,68.195
1.625,71.442
1.659,73.065
1.694,74.689
1.711,76.313
1.729,76.313
1.763,77.937
1.780,79.560
1.832,82.807
1.850,84.431
1.867,87.678
1.901,90.925
1.936,95.794
1.971,100.665
2.005,105.535
2.040,110.406
2.074,116.900
2.109,123.393
2.126,128.264
2.161,134.757
2.195,142.875
2.230,150.992
2.264,159.108
2.282,162.355
2.299,167.226
2.334,176.966
2.351,185.083
2.368,189.954
2.385,194.824
2.420,204.564
2.455,214.304
2.472,219.175
2.506,228.915
2.541,238.655
2.558,243.526
2.593,253.266
2.610,258.137
2.645,267.877
2.679,277.617
2.714,288.981
2.748,300.344
2.783,313.331
2.800,327.942
2.835,336.058
2.869,355.539
2.904,371.773
2.939,386.383
2.973,400.993
3.008,417.227
3.025,425.345
3.042,433.461
3.060,441.578
3.094,456.189
3.129,472.423
3.163,488.656
3.181,496.773
3.232,519.500
3.250,535.734
3.284,551.968
3.319,568.201
3.354,584.435
3.388,600.669
3.423,618.526
3.440,626.643
3.475,644.501
3.509,663.981
3.526,675.345
3.561,693.202
3.596,712.682
3.613,722.423
3.647,743.527
3.682,764.630
3.699,775.994
3.717,785.734
3.734,808.462
3.768,829.566
3.803,850.669
3.838,871.773
3.855,883.137
3.889,900.994
3.924,920.475
3.959,941.578
3.993,964.306
4.028,987.033
4.045,1000.020
4.062,1011.384
4.097,1034.111
4.131,1056.838
4.166,1079.565
4.183,1102.293
4.235,1136.384
4.252,1147.747
4.270,1159.111
4.304,1183.462
4.339,1206.189
4.373,1228.916
4.408,1251.643
4.443,1274.371
4.477,1297.098
4.512,1319.825
4.546,1342.552
4.564,1355.539
4.598,1378.267
4.633,1400.994
4.650,1412.358
4.667,1433.462
4.685,1444.825
4.719,1465.929
4.754,1487.033
4.788,1508.137
4.823,1529.241
4.857,1550.345
4.875,1561.708
4.927,1590.929
4.961,1610.410
4.996,1626.643
5.030,1642.877
5.048,1652.617
5.065,1660.734
5.099,1678.591
5.117,1686.708
5.134,1704.566
5.151,1712.683
5.169,1720.799
5.203,1735.410
5.220,1738.657
5.255,1743.527
5.290,1750.021
5.307,1756.514
5.341,1772.748
5.376,1790.605
5.411,1805.216
5.445,1818.203
5.480,1831.190
5.514,1844.177
5.532,1852.294
5.566,1865.281
5.583,1871.774
5.618,1889.631
5.653,1899.371
5.687,1907.488
5.722,1915.605
5.756,1920.475
5.791,1926.969
5.825,1938.333
5.860,1949.696
5.895,1948.073
5.929,1926.969
5.964,1907.488
5.981,1910.735
6.016,1928.592
6.050,1946.450
6.067,1962.683
6.102,1977.294
6.137,1990.281
6.171,2001.644
6.206,2013.008
6.240,2022.748
6.292,2035.735
6.309,2040.605
6.327,2043.852
6.344,2048.722
6.361,2051.969
6.396,2058.463
6.430,2064.956
6.465,2071.450
6.500,2079.567
6.517,2086.060
6.534,2089.307
6.551,2092.554
6.586,2100.671
6.638,2110.411
6.655,2113.658
6.690,2118.528
6.724,2125.021
6.759,2129.891
6.776,2133.138
6.811,2138.008
6.845,2142.879
6.863,2146.125
6.880,2147.749
6.914,2152.619
6.949,2159.112
6.984,2165.606
7.001,2167.229
7.035,2172.099
7.070,2175.346
7.087,2176.970
7.105,2180.216
7.139,2183.463
7.174,2188.333
7.191,2189.957
7.226,2193.203
7.260,2196.450
7.277,2198.074
7.312,2201.320
7.347,2204.567
7.364,2206.190
7.398,2207.814
7.433,2209.437
7.450,2209.437
7.485,2211.061
7.519,2211.061
7.537,2211.061
7.571,2212.684
7.606,2212.684
7.640,2212.684
7.658,2211.061
7.675,2211.061
7.710,2206.190
7.744,2202.944
7.779,2201.320
7.813,2199.697
7.848,2198.074
7.882,2196.450
7.900,2196.450
7.917,2193.203
7.952,2191.580
7.969,2189.957
7.986,2188.333
8.003,2186.710
8.021,2185.086
8.055,2181.840
8.090,2178.593
8.124,2173.723
8.159,2170.476
8.194,2165.606
8.211,2163.983
8.228,2162.359
8.263,2157.489
8.315,2084.437
