x,y
0.000,6.494
-0.017,6.494
0.000,4.870
-0.017,4.870
0.000,4.870
-0.017,4.870
0.000,4.870
-0.017,4.870
0.000,6.494
0.017,11.364
0.052,17.858
0.069,21.104
0.086,24.351
0.104,27.598
0.138,34.091
0.173,40.585
0.207,48.702
0.242,56.819
0.259,66.559
0.294,74.676
0.311,81.169
0.328,86.040
0.363,95.780
0.398,107.144
0.415,113.637
0.432,120.131
0.467,131.494
0.484,137.988
0.519,150.975
0.536,157.469
0.553,163.962
0.570,170.456
0.605,181.819
0.622,188.313
0.657,202.923
0.691,215.910
0.709,228.897
0.743,243.508
0.761,250.001
0.778,258.118
0.812,271.105
0.847,284.092
0.882,298.702
0.899,305.196
0.933,318.182
0.968,331.170
1.003,345.780
1.037,360.390
1.072,378.247
1.106,396.105
1.124,405.845
1.141,413.961
1.175,431.819
1.193,449.676
1.227,467.533
1.262,483.767
1.279,493.507
1.314,509.741
1.348,525.974
1.383,543.832
1.417,560.065
1.452,576.299
1.487,594.156
1.521,612.013
1.556,631.494
1.573,641.234
1.590,650.974
1.608,660.715
1.642,689.935
1.677,711.039
1.711,732.143
1.729,741.883
1.763,762.987
1.780,774.351
1.798,784.091
1.832,805.195
1.867,826.299
1.901,847.403
1.936,866.883
1.953,878.247
1.988,896.104
2.005,905.845
2.040,926.948
2.074,948.052
2.092,970.780
2.109,980.520
2.126,991.883
2.143,1001.624
2.178,1022.728
2.213,1043.832
2.247,1064.935
2.282,1087.663
2.299,1100.650
2.316,1110.390
2.351,1131.494
2.385,1154.221
2.420,1175.325
2.437,1185.065
2.455,1196.429
2.489,1217.533
2.524,1238.637
2.558,1259.741
2.576,1269.481
2.593,1292.208
2.627,1313.312
2.645,1326.299
2.679,1345.780
2.714,1368.507
2.731,1379.870
2.766,1400.974
2.800,1423.702
2.835,1446.429
2.869,1469.156
2.904,1491.883
2.939,1514.611
2.973,1535.715
2.990,1547.078
3.025,1566.559
3.042,1587.663
3.077,1607.143
3.111,1626.624
3.146,1646.104
3.181,1665.585
3.215,1683.442
3.250,1701.299
3.284,1719.156
3.302,1727.274
3.319,1735.390
3.336,1743.506
3.371,1758.117
3.405,1774.351
3.423,1780.844
3.440,1788.961
3.475,1805.195
3.492,1821.429
3.509,1829.546
3.526,1837.662
3.561,1853.896
3.596,1868.507
3.630,1884.740
3.665,1899.351
3.682,1907.468
3.734,1928.572
3.768,1941.559
3.803,1954.546
3.820,1961.039
3.838,1967.533
3.855,1975.650
3.889,1987.013
3.924,2000.000
3.959,2012.987
3.976,2024.351
4.010,2037.338
4.062,2051.948
4.080,2056.818
4.114,2068.182
4.149,2077.922
4.183,2086.039
4.218,2095.780
4.235,2099.026
4.270,2107.143
4.304,2115.260
4.339,2123.377
4.373,2129.871
4.408,2137.988
4.425,2144.481
4.460,2150.975
4.494,2159.091
4.529,2163.962
4.564,2167.208
4.598,2168.832
4.615,2168.832
4.633,2168.832
4.650,2170.455
4.667,2172.079
4.702,2175.325
4.736,2181.819
4.754,2185.066
4.788,2191.559
4.823,2198.053
4.840,2201.299
4.857,2204.546
4.892,2211.040
4.909,2215.910
4.944,2220.780
4.978,2225.650
4.996,2228.897
5.048,2233.767
5.065,2235.391
5.099,2240.261
5.134,2243.507
5.169,2246.754
5.203,2250.001
5.238,2253.248
5.272,2256.495
5.290,2258.118
5.307,2258.118
5.341,2259.741
5.359,2259.741
5.393,2259.741
5.428,2254.871
5.462,2097.404
5.480,1978.897
5.497,1858.767
5.514,1740.261
5.549,1659.092
5.583,1663.962
5.618,1672.080
5.653,1681.820
5.687,1691.560
5.722,1701.301
5.774,1714.288
5.791,1719.157
5.825,1727.275
5.825,1730.521
5.843,1733.768
5.877,1741.885
5.895,1743.509
5.929,1750.002
5.946,1548.703
5.964,1261.366
5.998,685.067
6.033,310.067
6.050,308.443
6.102,306.819
6.137,308.443
6.171,308.443
6.206,310.067
6.240,310.067
6.275,310.067
6.292,311.691
6.292,310.067
6.309,310.067
6.344,306.820
6.361,306.820
6.396,305.196
6.430,303.573
6.448,303.573
6.482,301.949
6.517,300.325
6.551,300.325
6.586,300.325
6.621,300.325
6.655,298.701
6.672,298.701
6.707,298.701
6.742,298.701
6.759,295.454
6.793,292.208
6.828,290.584
6.863,288.960
6.897,287.336
6.932,285.712
6.949,285.712
6.966,285.712
7.001,284.089
7.018,284.089
7.070,279.218
7.105,272.725
7.139,267.855
7.156,267.855
7.191,266.231
7.208,264.607
7.243,264.607
7.277,264.607
7.312,262.983
7.347,262.983
7.364,262.983
7.381,261.360
7.398,261.360
7.433,258.113
7.450,258.113
7.485,254.866
7.502,254.866
7.519,254.866
7.554,254.866
7.571,253.242
7.606,253.242
7.623,251.619
7.640,249.995
7.675,246.749
7.710,243.502
7.727,241.878
7.761,240.254
7.796,240.254
7.831,238.630
7.865,238.630
7.900,237.007
7.934,237.007
7.952,237.007
7.969,235.383
7.986,235.383
8.021,235.383
8.055,235.383
8.107,233.759
8.124,233.759
8.142,233.759
8.159,233.759
8.176,232.136
8.211,232.136
8.245,230.512
8.280,228.888
8.315,225.642
8.349,224.018
8.384,222.394
8.418,220.770
8.453,220.770
8.470,219.146
8.505,219.146
8.539,217.523
8.574,217.523
8.608,215.899
8.608,214.275
8.626,214.275
8.660,212.651
8.695,211.028
8.712,211.028
8.747,209.404
8.764,207.781
8.799,206.157
8.816,206.157
8.833,204.533
8.850,204.533
8.885,204.533
8.920,204.533
8.954,202.909
8.989,202.909
9.023,202.909
9.058,202.909
9.075,201.285
9.092,201.285
9.127,201.285
9.144,201.285
9.179,199.661
9.213,199.661
9.231,199.661
9.265,199.661
9.300,198.038
9.334,198.038
9.369,198.038
9.386,198.038
9.404,198.038
9.438,198.038
9.490,198.038
9.507,198.038
9.542,198.038
9.559,199.661
9.594,199.661
9.628,199.661
9.646,199.661
9.680,199.661
9.697,199.661
9.715,199.661
9.749,201.285
9.784,201.285
9.801,201.285
9.853,201.285
9.888,201.285
9.922,201.285
9.957,201.285
9.991,201.285
10.009,199.661
10.043,196.415
10.061,196.415
10.095,194.791
10.130,194.791
10.164,193.167
10.182,193.167
10.233,193.167
10.251,193.167
10.268,193.167
10.303,193.167
10.337,191.544
10.372,191.544
10.406,189.920
10.441,189.920
10.475,189.920
10.510,188.296
10.545,188.296
10.596,186.673
10.614,186.673
10.648,186.673
10.683,185.049
10.700,185.049
10.717,183.425
10.752,183.425
10.787,181.801
10.804,181.801
10.821,181.801
10.856,180.177
10.890,180.177
10.908,180.177
10.942,178.554
10.959,176.930
10.994,176.930
11.011,175.306
11.029,175.306
11.063,175.306
11.098,175.306
11.132,173.682
11.167,173.682
11.201,173.682
11.236,172.059
11.271,172.059
11.305,170.435
11.322,170.435
11.357,170.435
11.392,168.812
11.409,168.812
11.443,167.188
11.478,167.188
11.513,165.564
11.530,165.564
11.564,163.940
11.599,163.940
11.616,163.940
11.651,162.316
11.685,162.316
11.720,162.316
11.737,160.692
11.772,160.692
11.789,160.692
11.806,159.069
11.841,159.069
11.858,157.445
11.893,157.445
11.927,157.445
11.962,155.821
11.997,155.821
12.031,154.197
12.066,154.197
12.100,154.197
12.135,152.573
12.152,152.573
12.187,150.950
12.221,150.950
12.239,149.327
12.273,149.327
12.308,147.703
12.325,147.703
12.342,147.703
12.377,147.703
12.411,146.079
12.429,146.079
12.446,146.079
12.481,144.455
12.515,144.455
12.550,142.831
12.567,142.831
12.602,142.831
12.653,141.208
12.671,141.208
12.705,139.584
12.740,139.584
12.774,137.960
12.792,137.960
12.826,136.336
12.861,136.336
12.878,136.336
12.895,134.712
12.930,134.712
12.965,133.088
13.016,133.088
13.051,131.466
13.086,131.466
13.120,129.842
13.137,129.842
13.155,129.842
13.189,129.842
13.224,128.218
13.258,128.218
13.276,126.594
13.328,126.594
13.345,124.970
13.379,124.970
13.397,124.970
13.431,124.970
13.466,123.346
13.500,123.346
13.535,121.723
13.570,121.723
13.587,120.099
13.604,120.099
13.639,120.099
13.673,118.475
13.691,118.475
13.725,116.851
13.760,116.851
13.794,116.851
13.812,116.851
13.846,115.227
13.881,115.227
13.898,115.227
13.915,113.604
13.950,113.604
13.984,113.604
14.019,111.980
14.036,111.980
14.088,110.357
14.123,110.357
14.140,110.357
14.157,108.733
14.192,108.733
14.209,107.109
14.226,107.109
14.244,107.109
14.261,105.485
14.296,105.485
14.330,103.862
14.347,103.862
14.365,103.862
14.382,102.238
14.417,102.238
14.434,102.238
14.451,102.238
14.468,100.614
14.503,100.614
14.538,100.614
14.572,98.990
14.607,98.990
14.641,97.366
14.659,97.366
14.693,97.366
14.728,95.742
14.745,95.742
14.780,94.119
14.814,94.119
14.849,94.119
14.883,92.495
14.918,92.495
14.952,92.495
14.987,90.872
15.004,90.872
15.022,90.872
15.073,90.872
15.108,89.248
15.125,89.248
15.160,87.624
15.194,87.624
15.212,87.624
15.229,87.624
15.264,86.000
15.298,86.000
15.333,84.377
15.367,84.377
15.385,84.377
15.436,82.753
15.454,82.753
15.471,82.753
15.488,81.129
15.523,81.129
15.557,81.129
15.592,79.505
15.609,79.505
15.644,77.881
15.661,77.881
15.678,77.881
15.713,76.258
15.765,76.258
15.782,76.258
15.817,74.634
15.851,73.010
15.886,73.010
15.903,71.387
15.938,71.387
15.972,71.387
16.007,69.763
16.041,69.763
16.076,68.139
16.093,68.139
16.128,66.516
16.162,66.516
16.197,66.516
16.232,64.892
16.249,64.892
16.266,64.892
16.301,63.268
16.318,63.268
16.353,63.268
16.387,61.644
16.422,61.644
16.456,61.644
16.491,60.020
16.525,60.020
16.543,58.396
16.577,58.396
16.595,58.396
16.612,58.396
16.646,56.773
16.681,56.773
16.698,56.773
16.716,56.773
16.733,56.773
16.768,56.773
16.785,55.149
16.837,55.149
16.871,55.149
16.906,55.149
16.940,55.149
16.975,55.149
16.992,55.149
17.027,53.525
17.044,53.525
17.061,53.525
17.096,53.525
17.131,53.525
17.148,53.525
17.182,53.525
17.217,53.525
17.252,53.525
17.269,53.525
17.286,53.525
17.321,55.149
17.355,55.149
17.373,55.149
17.390,55.149
17.424,55.149
17.442,56.773
17.476,56.773
17.511,56.773
17.528,58.396
17.563,58.396
17.580,58.396
17.597,60.020
17.632,60.020
17.666,60.020
17.701,61.644
17.736,61.644
17.770,63.268
17.805,63.268
17.839,64.892
17.857,64.892
17.908,66.516
17.926,68.139
17.960,68.139
17.978,68.139
17.995,68.139
18.012,69.763
18.047,69.763
18.081,71.387
18.116,71.387
18.150,73.010
18.168,73.010
18.202,73.010
18.237,74.634
18.254,74.634
18.289,76.258
18.323,76.258
18.341,76.258
18.358,77.881
18.375,77.881
18.392,77.881
18.427,79.505
18.462,79.505
18.496,81.129
18.548,81.129
18.565,81.129
18.600,82.753
18.634,82.753
18.652,82.753
18.669,82.753
18.704,84.377
18.738,84.377
18.773,84.377
18.807,84.377
18.825,84.377
18.859,84.377
18.876,84.377
18.911,86.000
18.946,86.000
18.963,86.000
18.980,86.000
19.015,86.000
19.049,86.000
19.084,87.624
19.118,87.624
19.153,87.624
19.188,87.624
19.205,86.000
19.257,87.624
19.274,87.624
19.309,87.624
19.326,87.624
19.360,86.000
19.395,86.000
19.412,86.000
19.430,86.000
19.464,86.000
19.499,86.000
19.516,86.000
19.533,86.000
19.551,86.000
19.585,86.000
19.620,86.000
19.637,86.000
19.654,86.000
19.689,86.000
19.723,86.000
19.741,86.000
19.758,86.000
19.775,86.000
19.810,86.000
19.844,86.000
19.879,86.000
19.914,86.000
19.931,86.000
19.983,84.377
19.983,82.753
19.983,77.882
