x,y
-0.017,3.247
0.000,3.247
0.017,4.871
0.017,6.494
0.035,8.118
0.052,9.742
0.086,14.612
0.121,19.482
0.138,22.729
0.156,25.976
0.190,30.846
0.207,35.716
0.242,42.210
0.277,50.327
0.311,60.067
0.346,68.185
0.363,73.054
0.380,77.925
0.415,87.665
0.449,99.029
0.467,110.393
0.501,123.379
0.536,136.366
0.553,142.860
0.570,149.354
0.588,155.847
0.622,168.834
0.640,176.951
0.674,188.314
0.691,194.808
0.726,209.418
0.761,222.405
0.795,237.016
0.812,243.509
0.830,250.003
0.864,264.613
0.899,277.600
0.916,285.717
0.933,292.211
0.951,303.575
0.968,310.068
1.003,324.678
1.037,340.912
1.072,357.146
1.106,376.626
1.141,396.107
1.158,405.847
1.175,415.587
1.210,435.068
1.245,454.549
1.279,475.652
1.314,496.756
1.348,516.237
1.383,537.341
1.400,547.081
1.417,568.185
1.452,589.289
1.487,610.393
1.521,631.497
1.556,654.224
1.590,675.328
1.608,686.691
1.625,698.055
1.659,720.782
1.694,741.886
1.729,762.990
1.763,785.717
1.798,806.821
1.815,816.562
1.850,837.665
1.867,857.146
1.901,878.250
1.936,900.977
1.971,922.081
2.005,946.432
2.040,967.536
2.074,988.639
2.109,1011.367
2.143,1032.471
2.178,1053.575
2.213,1074.678
2.230,1084.419
2.264,1107.146
2.299,1128.250
2.334,1149.354
2.368,1172.081
2.403,1201.302
2.420,1212.665
2.455,1232.146
2.472,1243.510
2.489,1253.250
2.524,1274.354
2.558,1293.834
2.576,1305.198
2.593,1314.938
2.627,1334.419
2.645,1344.159
2.679,1363.639
2.697,1375.003
2.748,1402.601
2.783,1422.081
2.800,1441.562
2.835,1459.419
2.869,1477.276
2.904,1495.133
2.939,1512.990
2.973,1530.847
3.008,1547.081
3.025,1555.198
3.077,1573.056
3.094,1579.549
3.129,1592.536
3.163,1607.146
3.198,1623.380
3.232,1639.614
3.250,1647.731
3.250,1655.849
3.284,1670.459
3.319,1686.693
3.336,1693.186
3.354,1701.303
3.371,1709.420
3.405,1722.407
3.440,1737.018
3.457,1743.511
3.475,1750.005
3.509,1764.615
3.544,1777.602
3.578,1790.589
3.613,1803.576
3.647,1814.940
3.682,1827.927
3.717,1839.290
3.734,1845.784
3.768,1863.641
3.803,1875.005
3.838,1884.745
3.872,1896.109
3.889,1900.979
3.924,1912.342
3.959,1922.083
3.993,1931.823
4.028,1941.563
4.062,1951.303
4.080,1956.173
4.114,1965.914
4.149,1975.654
4.166,1978.901
4.183,1988.641
4.218,1996.758
4.252,2004.875
4.287,2012.992
4.304,2017.862
4.322,2021.109
4.339,2024.355
4.373,2032.472
4.408,2040.589
4.443,2045.459
4.477,2051.953
4.512,2058.447
4.546,2064.940
4.581,2071.434
4.615,2077.927
4.650,2086.044
4.667,2092.538
4.719,2099.031
4.754,2108.771
4.788,2113.642
4.823,2116.888
4.857,2120.135
4.892,2123.382
4.927,2129.875
4.961,2136.369
4.978,2139.616
4.996,2142.862
5.030,2149.356
5.065,2154.226
5.082,2157.473
5.117,2163.966
5.134,2168.837
5.169,2173.707
5.186,2176.954
5.203,2178.577
5.238,2185.070
5.272,2189.941
5.290,2191.564
5.307,2193.187
5.341,2198.057
5.376,2202.928
5.411,2206.174
5.428,2209.421
5.462,2212.668
5.497,2217.538
5.514,2219.161
5.549,2222.408
5.566,2224.032
5.583,2227.278
5.618,2230.525
5.653,2233.772
5.687,2237.019
5.722,2240.265
5.739,2240.265
5.756,2241.889
5.774,2243.512
5.825,2246.759
5.860,2248.382
5.895,2250.006
5.929,2251.629
5.964,2253.253
5.981,2254.876
6.016,2256.499
6.050,2256.499
6.067,2258.123
6.102,2258.123
6.119,2258.123
6.171,2251.629
6.188,2089.291
6.206,1917.214
6.240,1568.188
6.275,1386.369
6.292,1384.746
6.309,1384.746
6.344,1389.616
6.379,1396.110
6.396,1399.356
6.413,1402.603
6.430,1407.474
6.465,1413.967
6.482,1417.214
6.517,1425.331
6.551,1430.202
6.586,1433.449
6.621,1436.696
6.638,1438.319
6.655,1439.943
6.690,1439.943
6.724,1441.567
6.742,1441.567
6.759,1441.567
6.793,1441.567
6.811,1441.567
6.845,1441.567
6.880,1441.567
6.914,1439.943
6.949,1438.319
6.984,1436.696
7.001,1435.073
7.035,1431.826
7.053,1430.202
7.070,1428.578
7.105,1423.708
7.139,1040.591
7.156,774.357
7.191,329.552
7.226,235.396
7.260,232.149
7.277,232.149
7.295,230.525
7.329,232.149
7.364,232.149
7.398,232.149
7.433,230.525
7.450,227.279
7.485,225.655
7.502,224.031
7.554,224.031
7.589,224.031
7.606,224.031
7.623,224.031
7.640,224.031
7.675,225.655
7.710,225.655
7.727,225.655
7.744,227.279
7.761,227.279
7.813,227.279
7.848,228.902
7.882,228.902
7.917,230.526
7.934,230.526
7.969,232.150
8.003,233.773
8.038,233.773
8.055,233.773
8.090,235.397
8.107,235.397
8.159,237.021
8.194,237.021
8.228,235.397
8.263,235.397
8.280,235.397
8.297,235.397
8.332,235.397
8.366,233.773
8.366,232.150
8.384,230.526
8.418,227.279
8.453,227.279
8.505,225.656
8.539,224.032
8.574,220.785
8.608,217.538
8.626,217.538
8.643,217.538
8.678,215.915
8.712,215.915
8.747,215.915
8.781,215.915
8.799,214.291
8.833,214.291
8.850,212.667
8.868,212.667
8.885,212.667
8.920,211.044
8.954,206.173
8.989,201.303
9.023,199.679
9.058,198.055
9.075,196.431
9.092,196.431
9.127,194.807
9.162,193.184
9.179,193.184
9.196,193.184
9.248,193.184
9.265,193.184
9.300,193.184
9.334,193.184
9.369,193.184
9.386,193.184
9.404,193.184
9.438,193.184
9.473,193.184
9.490,191.561
9.507,191.561
9.542,191.561
9.559,189.937
9.594,189.937
9.628,188.313
9.646,188.313
9.680,186.689
9.715,185.065
9.732,185.065
9.749,185.065
9.767,183.442
9.784,183.442
9.818,181.818
9.853,180.194
9.888,180.194
9.922,178.570
9.939,178.570
9.957,176.946
9.991,175.323
10.026,173.699
10.061,173.699
10.095,172.076
10.130,172.076
10.147,172.076
10.182,170.452
10.216,170.452
10.233,168.828
10.268,168.828
10.303,167.204
10.354,165.581
10.372,165.581
10.406,163.957
10.441,163.957
10.475,162.333
10.493,162.333
10.510,162.333
10.545,162.333
10.562,160.709
10.596,160.709
10.614,160.709
10.631,160.709
10.666,159.085
10.700,159.085
10.717,157.461
10.752,157.461
10.787,155.838
10.821,155.838
10.838,155.838
10.856,154.214
10.890,154.214
10.925,152.590
10.959,150.967
10.977,150.967
11.011,149.343
11.046,149.343
11.063,147.719
11.080,147.719
11.115,147.719
11.150,146.096
11.167,144.472
11.201,144.472
11.236,144.472
11.271,142.848
11.305,142.848
11.322,141.224
11.357,141.224
11.392,139.600
11.426,139.600
11.461,137.977
11.495,136.353
11.513,136.353
11.530,136.353
11.564,134.729
11.599,133.105
11.634,131.482
11.651,129.858
11.685,129.858
11.703,128.235
11.737,126.611
11.755,126.611
11.789,124.987
11.806,124.987
11.841,123.363
11.858,123.363
11.876,121.739
11.910,121.739
11.945,120.115
11.979,118.492
12.014,116.868
12.048,115.244
12.083,113.620
12.100,113.620
12.135,111.996
12.169,110.373
12.204,108.750
12.221,108.750
12.256,108.750
12.290,107.126
12.325,105.502
12.342,105.502
12.360,105.502
12.394,103.878
12.429,103.878
12.463,102.254
12.498,100.631
12.532,100.631
12.567,99.007
12.584,99.007
12.619,97.383
12.636,97.383
12.671,95.759
12.705,94.135
12.740,92.511
12.774,92.511
12.809,90.889
12.844,89.265
12.878,87.641
12.913,87.641
12.947,86.017
12.982,84.393
13.016,82.769
13.034,82.769
13.051,81.146
13.086,79.522
13.103,79.522
13.155,77.898
13.189,76.274
13.224,74.650
13.258,73.027
13.293,73.027
13.328,71.404
13.362,69.780
13.397,68.156
13.414,68.156
13.431,68.156
13.466,66.532
13.500,64.908
13.535,63.285
13.570,63.285
13.604,61.661
13.621,61.661
13.639,60.037
13.673,60.037
13.708,58.413
13.742,56.789
13.777,56.789
13.812,55.165
13.846,55.165
13.881,53.542
13.898,53.542
13.933,51.918
13.950,51.918
13.984,50.295
14.019,50.295
14.054,48.671
14.088,48.671
14.123,47.047
14.157,47.047
14.192,45.423
14.226,45.423
14.261,43.800
14.278,43.800
14.296,43.800
14.313,43.800
14.347,42.176
14.382,42.176
14.399,40.552
14.417,40.552
14.434,40.552
14.486,38.928
14.503,38.928
14.538,37.304
14.572,37.304
14.607,35.681
14.641,35.681
14.676,34.057
14.710,34.057
14.728,34.057
14.762,32.433
14.797,32.433
14.831,32.433
14.866,30.810
14.883,30.810
14.918,30.810
14.935,29.186
14.952,29.186
14.987,29.186
15.022,29.186
15.056,27.562
15.091,27.562
15.125,27.562
15.143,27.562
15.160,27.562
15.194,25.939
15.229,25.939
15.246,25.939
15.281,25.939
15.315,24.315
15.350,24.315
15.367,24.315
15.385,24.315
15.402,24.315
15.436,22.691
15.471,22.691
15.506,22.691
15.523,22.691
15.575,21.067
15.592,21.067
15.627,21.067
15.661,21.067
15.696,21.067
15.730,19.443
15.748,19.443
15.765,19.443
15.799,19.443
15.817,19.443
15.834,19.443
15.851,19.443
15.869,19.443
15.920,17.819
15.955,17.819
15.972,17.819
16.007,17.819
16.041,17.819
16.076,17.819
16.111,17.819
16.145,16.196
16.180,16.196
16.197,16.196
16.214,16.196
16.249,16.196
16.283,16.196
16.301,16.196
16.335,16.196
16.370,14.572
16.387,14.572
16.422,14.572
16.456,14.572
16.491,14.572
16.525,14.572
16.560,14.572
16.595,14.572
16.629,14.572
16.664,14.572
16.698,14.572
16.733,14.572
16.750,14.572
16.768,14.572
16.785,14.572
16.802,14.572
16.837,14.572
16.871,14.572
16.889,14.572
16.906,14.572
16.940,14.572
16.992,14.572
17.010,16.196
17.044,16.196
17.079,16.196
17.113,16.196
17.148,16.196
17.182,17.819
17.217,17.819
17.252,17.819
17.286,19.443
17.321,19.443
17.355,19.443
17.390,19.443
17.424,21.067
17.442,21.067
17.459,21.067
17.494,22.691
17.528,22.691
17.545,22.691
17.563,22.691
17.597,24.315
17.632,24.315
17.666,24.315
17.684,25.939
17.701,25.939
17.736,25.939
17.770,27.562
17.805,27.562
17.839,29.186
17.874,29.186
17.891,29.186
17.908,29.186
17.943,30.810
17.995,30.810
18.012,32.433
18.047,32.433
18.064,32.433
18.099,34.057
18.133,34.057
18.150,34.057
18.185,35.681
18.202,35.681
18.220,35.681
18.254,37.304
18.289,37.304
